id,first_seen_iso
1021010094060,2016-11-17T00:00:00.000Z
1021010937882,2016-11-17T00:00:00.000Z
1021011458336,2016-11-17T00:00:00.000Z
1021011684236,2016-11-17T00:00:00.000Z
1021011818054,2016-11-17T00:00:00.000Z
1021012186494,2016-11-17T00:00:00.000Z
1021014561357,2016-11-17T00:00:00.000Z
1021016031324,2016-11-17T00:00:00.000Z
1021017648419,2016-11-17T00:00:00.000Z
1021018581901,2016-11-17T00:00:00.000Z
1021019034868,2016-11-17T00:00:00.000Z
1021019191430,2016-11-17T00:00:00.000Z
1021019276382,2016-11-17T00:00:00.000Z
1021019702897,2016-11-17T00:00:00.000Z
1021019726835,2016-11-17T00:00:00.000Z
1021019867591,2016-11-17T00:00:00.000Z
1021019970428,2016-11-17T00:00:00.000Z
1021020111239,2016-11-17T00:00:00.000Z
1021020162189,2016-11-17T00:00:00.000Z
1021020626634,2016-11-17T00:00:00.000Z
1021020982681,2016-11-17T00:00:00.000Z
1021021189944,2016-11-17T00:00:00.000Z
1021021222509,2016-11-17T00:00:00.000Z
1021022143393,2017-01-18T00:00:00.000Z
1021022761371,2016-11-17T00:00:00.000Z
1021022917762,2016-11-17T00:00:00.000Z
1021023441161,2016-11-17T00:00:00.000Z
1021023451372,2016-11-17T00:00:00.000Z
1021023752413,2016-11-17T00:00:00.000Z
1021024010805,2016-11-17T00:00:00.000Z
1021024120599,2016-11-17T00:00:00.000Z
1021025836667,2016-11-17T00:00:00.000Z
1021027377693,2016-11-17T00:00:00.000Z
1021027397709,2016-11-17T00:00:00.000Z
1021027666327,2016-11-17T00:00:00.000Z
1021028132380,2016-11-17T00:00:00.000Z
1021028327149,2016-11-17T00:00:00.000Z
1021028333101,2016-11-17T00:00:00.000Z
1021028540090,2016-11-17T00:00:00.000Z
1021029158566,2016-11-17T00:00:00.000Z
1021030147105,2016-11-17T00:00:00.000Z
1021030247144,2016-11-17T00:00:00.000Z
1021031713981,2016-11-17T00:00:00.000Z
1021031829659,2016-11-17T00:00:00.000Z
1021033349135,2016-11-17T00:00:00.000Z
1021033351021,2016-11-17T00:00:00.000Z
1021033712722,2016-11-17T00:00:00.000Z
1021033930690,2016-11-17T00:00:00.000Z
1021034362916,2016-11-17T00:00:00.000Z
1021035415895,2017-01-23T00:00:00.000Z
1021037093228,2016-11-17T00:00:00.000Z
1021037299079,2016-11-17T00:00:00.000Z
1021037653212,2016-12-15T00:00:00.000Z
1021037792380,2016-11-17T00:00:00.000Z
1021038661366,2016-11-17T00:00:00.000Z
1021039537861,2016-11-17T00:00:00.000Z
1021039685178,2016-11-17T00:00:00.000Z
1021041277724,2016-11-17T00:00:00.000Z
1021041664150,2016-11-17T00:00:00.000Z
1021041961018,2016-12-12T00:00:00.000Z
1021042418246,2016-11-17T00:00:00.000Z
1021043186266,2016-11-17T00:00:00.000Z
1021043194396,2016-11-17T00:00:00.000Z
1021043230554,2016-11-17T00:00:00.000Z
1021043355750,2016-11-17T00:00:00.000Z
1021043633968,2016-11-17T00:00:00.000Z
1021043678947,2016-11-17T00:00:00.000Z
1021043925343,2016-11-17T00:00:00.000Z
1021044179996,2016-11-17T00:00:00.000Z
1021044186603,2016-11-17T00:00:00.000Z
1021044469681,2016-11-17T00:00:00.000Z
1021044683984,2016-11-17T00:00:00.000Z
1021044733397,2016-11-17T00:00:00.000Z
1021046019267,2016-11-17T00:00:00.000Z
1021048767169,2016-11-17T00:00:00.000Z
1021049151279,2016-11-17T00:00:00.000Z
1021049245695,2016-11-17T00:00:00.000Z
1021049832391,2016-11-17T00:00:00.000Z
1021049866975,2016-11-17T00:00:00.000Z
1021049888288,2016-11-17T00:00:00.000Z
1021049971293,2016-11-17T00:00:00.000Z
1021050095387,2016-11-17T00:00:00.000Z
1021050849006,2016-11-17T00:00:00.000Z
1021050869775,2016-11-17T00:00:00.000Z
1021051436774,2016-11-17T00:00:00.000Z
1021051668591,2016-11-23T00:00:00.000Z
1021051905214,2016-11-17T00:00:00.000Z
1021051913496,2016-11-17T00:00:00.000Z
1021052552834,2016-11-17T00:00:00.000Z
1021052555596,2016-11-17T00:00:00.000Z
1021052730882,2016-11-17T00:00:00.000Z
1021052737576,2017-01-16T00:00:00.000Z
1021053294803,2016-11-17T00:00:00.000Z
1021053581716,2017-01-09T00:00:00.000Z
1021053734359,2016-11-17T00:00:00.000Z
1021054046815,2016-11-17T00:00:00.000Z
1021054072205,2016-11-17T00:00:00.000Z
1021054158230,2016-11-17T00:00:00.000Z
1021054191434,2016-11-17T00:00:00.000Z
1021054381347,2016-11-17T00:00:00.000Z
1021054644037,2016-11-17T00:00:00.000Z
1021055079879,2016-11-17T00:00:00.000Z
1021055215133,2016-11-20T00:00:00.000Z
1021055232359,2016-11-17T00:00:00.000Z
1021055296856,2016-11-17T00:00:00.000Z
1021055318060,2016-11-17T00:00:00.000Z
1021055383401,2016-11-17T00:00:00.000Z
1021055824843,2016-11-17T00:00:00.000Z
1021056164828,2017-01-03T00:00:00.000Z
1021056483549,2016-11-17T00:00:00.000Z
1021056779749,2016-11-17T00:00:00.000Z
1021057045180,2016-11-17T00:00:00.000Z
1021057115020,2016-11-17T00:00:00.000Z
1021057175724,2016-11-17T00:00:00.000Z
1021057442671,2016-11-17T00:00:00.000Z
1021057471960,2016-11-17T00:00:00.000Z
1021057667088,2016-11-17T00:00:00.000Z
1021057965297,2016-11-17T00:00:00.000Z
1021058032981,2016-11-17T00:00:00.000Z
1021058349051,2016-11-17T00:00:00.000Z
1021058464385,2016-11-17T00:00:00.000Z
1021058513888,2016-11-17T00:00:00.000Z
1021058759697,2016-11-17T00:00:00.000Z
1021059289531,2016-11-23T00:00:00.000Z
1021059387565,2016-11-17T00:00:00.000Z
1021059413943,2016-11-17T00:00:00.000Z
1021059674456,2016-11-17T00:00:00.000Z
1021059702019,2016-11-17T00:00:00.000Z
1021060102812,2016-11-17T00:00:00.000Z
1021060376158,2016-11-17T00:00:00.000Z
1021060817809,2016-11-17T00:00:00.000Z
1021061156574,2016-12-17T00:00:00.000Z
1021061295426,2016-11-17T00:00:00.000Z
1021062073048,2016-11-17T00:00:00.000Z
